round_epochs,val_loss,val_acc,loss,acc,lr,first_neuron,batch_size,epochs,weight_regulizer,emb_output_dims,optimizer,losses,activation
20,27868.358667568897,0.0,28925.984944385593,0.0,5,1,4,20,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
10,5612.030461769405,0.007874015748031496,5894.067746100992,0.010169491525423728,5,1,2,10,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
10,28160.788578063486,0.0,29229.009878177967,0.0,8,1,3,10,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
20,5173.0211120365175,0.023622047244094488,5641.011350676973,0.010169491525423728,6,1,2,20,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
40,27020.401497908464,0.0,28067.159394862287,0.0,4,1,4,40,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
20,5354.0724213367375,0.015748031496062992,5855.467518124338,0.010169491525423728,7,1,4,20,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
10,5433.7042971633555,0.007874015982695453,5961.825240416446,0.006779661218998796,2,1,3,10,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
10,27895.56313438115,0.0,28973.389156845868,0.0,9,1,2,10,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
10,27888.561542661173,0.0,28966.87585904396,0.0,3,1,2,10,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
20,27868.572142593504,0.0,28925.971908103813,0.0,6,1,4,20,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
20,25675.842717688854,0.0,26759.02416273214,0.0,4,1,1,20,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
10,28304.76517901083,0.0,29367.21899496822,0.0,5,1,4,10,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
10,5362.945696733129,0.015748031496062992,5861.504866984739,0.010169491525423728,8,1,2,10,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
10,28166.14463890256,0.0,29233.947944253177,0.0,4,1,3,10,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
10,27906.403435654527,0.0,28984.17262645657,0.0,8,1,2,10,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
40,25494.29906265379,0.0,26540.818930415782,0.0,5,1,2,40,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
10,27173.424271711214,0.0,28278.727950480832,0.0,3,1,1,10,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
40,26488.890594242126,0.0,27535.493033302435,0.0,2,1,3,40,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
40,4494.835743674817,0.015748031496062992,4789.040109224289,0.013559322033898305,6,1,1,40,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
20,5371.10615119033,0.0,5876.311967856197,0.010169491525423728,6,1,4,20,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
40,27017.405542568897,0.0,28064.67478151483,0.0,3,1,4,40,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
